"Year","County","Population"
2013,Saguache,6221.0
2013,San Juan,700.0
2013,San Miguel,7629.0
2013,Sedgwick,2343.0
2013,Summit,28660.0
2013,Teller,23271.0
2013,Washington,4765.0
2013,Weld,269981.0
2013,Yuma,10157.0
2014,Adams,479777.0
2014,Alamosa,15845.0
2014,Arapahoe,617936.0
2014,Archuleta,12258.0
2014,Baca,3624.0
2014,Bent,5747.0
2014,Boulder,313190.0
2014,Broomfield,61554.0
2014,Chaffee,18459.0
2014,Cheyenne,1847.0
2014,Clear Creek,9210.0
2014,Conejos,8246.0
2014,Costilla,3560.0
2014,Crowley,5550.0
2014,Custer,4368.0
2014,Delta,29988.0
2014,Denver,662855.0
2014,Dolores,1965.0
2014,Douglas,314804.0
2014,Eagle,52761.0
2014,El Paso,665052.0
2014,Elbert,24093.0
2014,Fremont,46389.0
2014,Garfield,57260.0
2014,Gilpin,5769.0
2014,Grand,14451.0
2014,Gunnison,15767.0
2014,Hinsdale,774.0
2014,Huerfano,6395.0
2014,Jackson,1389.0
2014,Jefferson,558610.0
2014,Kiowa,1394.0
2014,Kit Carson,8039.0
2014,La Plata,53978.0
2014,Lake,7370.0
2014,Larimer,324105.0
2014,Las Animas,14078.0
2014,Lincoln,5509.0
2014,Logan,22099.0
2014,Mesa,148250.0
2014,Mineral,696.0
2014,Moffat,12866.0
2014,Montezuma,25806.0
2014,Montrose,40769.0
2014,Morgan,28127.0
2014,Otero,18398.0
2014,Ouray,4582.0
2014,Park,16356.0
2014,Phillips,4379.0
2014,Pitkin,17623.0
2014,Prowers,12023.0
2014,Pueblo,161618.0
2014,Rio Blanco,6626.0
2014,Rio Grande,11542.0
2014,Routt,24010.0
2014,Saguache,6171.0
2014,San Juan,719.0
2014,San Miguel,7751.0
2014,Sedgwick,2331.0
2014,Summit,29213.0
2014,Teller,23402.0
2014,Washington,4772.0
2014,Weld,275845.0
2014,Yuma,10178.0
2015,Adams,489923.0
2015,Alamosa,15968.0
2015,Arapahoe,629066.0
2015,Archuleta,12417.0
2015,Baca,3594.0
2015,Bent,5847.0
2015,Boulder,318570.0
2015,Broomfield,64656.0
2015,Chaffee,18603.0
2015,Cheyenne,1830.0
2015,Clear Creek,9392.0
2015,Conejos,8074.0
2015,Costilla,3572.0
2015,Crowley,5569.0
2015,Custer,4457.0
2015,Delta,29973.0
2015,Denver,680658.0
2015,Dolores,1972.0
2015,Douglas,322198.0
2015,Eagle,53320.0
2015,El Paso,676178.0
2015,Elbert,24640.0
2015,Fremont,46659.0
2015,Garfield,57779.0
2015,Gilpin,5824.0
2015,Grand,14602.0
2015,Gunnison,16097.0
2015,Hinsdale,767.0
2015,Huerfano,6456.0
2015,Jackson,1353.0
2015,Jefferson,564619.0
2015,Kiowa,1396.0
2015,Kit Carson,8219.0
2015,La Plata,54857.0
2015,Lake,7502.0
2015,Larimer,332830.0
2015,Las Animas,14061.0
2015,Lincoln,5549.0
2015,Logan,22122.0
2015,Mesa,149023.0
2015,Mineral,729.0
2015,Moffat,12884.0
2015,Montezuma,26129.0
2015,Montrose,40795.0
2015,Morgan,28230.0
2015,Otero,18265.0
2015,Ouray,4647.0
2015,Park,16716.0
2015,Phillips,4307.0
2015,Pitkin,17845.0
2015,Prowers,11905.0
2015,Pueblo,163196.0
2015,Rio Blanco,6529.0
2015,Rio Grande,11413.0
2015,Routt,24310.0
2015,Saguache,6219.0
2015,San Juan,696.0
2015,San Miguel,7843.0
2015,Sedgwick,2389.0
2015,Summit,29928.0
2015,Teller,23431.0
2015,Washington,4834.0
2015,Weld,284571.0
2015,Yuma,10052.0
2016,Adams,497673.0
2016,Alamosa,16131.0
2016,Arapahoe,637254.0
2016,Archuleta,12907.0
