"Year","County","PercentChangeSince2017"
2026,Ouray,5.4307
2026,Park,15.5813
2026,Phillips,1.2287
2026,Pitkin,8.2010
2026,Prowers,0.3782
2026,Pueblo,9.6741
2026,Rio Blanco,2.2099
2026,Rio Grande,-0.1654
2026,Routt,19.0817
2026,Saguache,3.2806
2026,San Juan,5.2104
2026,San Miguel,29.0003
2026,Sedgwick,-2.1186
2026,Summit,18.7320
2026,Teller,14.5446
2026,Washington,2.8695
2026,Weld,34.0252
2026,Yuma,4.2574
2027,Adams,22.3683
2027,Alamosa,12.1817
2027,Arapahoe,15.6978
2027,Archuleta,19.9217
2027,Baca,-6.0229
2027,Bent,8.4373
2027,Boulder,12.1354
2027,Broomfield,35.2930
2027,Chaffee,14.9715
2027,Cheyenne,-0.1940
2027,Clear Creek,6.1472
2027,Conejos,2.7133
2027,Costilla,1.3831
2027,Crowley,12.1894
2027,Custer,6.0606
2027,Delta,5.8160
2027,Denver,17.3346
2027,Dolores,4.9702
2027,Douglas,18.2106
2027,Eagle,19.1534
2027,El Paso,16.7096
2027,Elbert,49.7348
2027,Fremont,1.8193
2027,Garfield,21.2250
2027,Gilpin,3.2754
2027,Grand,19.4776
2027,Gunnison,12.4090
2027,Hinsdale,24.8463
2027,Huerfano,-0.7582
2027,Jackson,-2.3123
2027,Jefferson,9.8117
2027,Kiowa,-2.2828
2027,Kit Carson,4.1818
2027,La Plata,22.3198
2027,Lake,8.7585
2027,Larimer,18.2958
2027,Las Animas,-0.5929
2027,Lincoln,14.1894
2027,Logan,10.9420
2027,Mesa,13.0478
2027,Mineral,11.9325
2027,Moffat,1.4886
2027,Montezuma,21.0077
2027,Montrose,18.3747
2027,Morgan,10.4914
2027,Otero,-2.1951
2027,Ouray,5.5734
2027,Park,17.7356
2027,Phillips,1.2855
2027,Pitkin,9.2230
2027,Prowers,0.2554
2027,Pueblo,10.8705
2027,Rio Blanco,2.6263
2027,Rio Grande,-0.1161
2027,Routt,22.0375
2027,Saguache,3.2996
2027,San Juan,5.2958
2027,San Miguel,32.2739
2027,Sedgwick,-2.4622
2027,Summit,21.2136
2027,Teller,15.5931
2027,Washington,3.1634
2027,Weld,38.1777
2027,Yuma,4.5673
2028,Adams,24.6838
2028,Alamosa,13.4023
2028,Arapahoe,17.3002
2028,Archuleta,22.5568
2028,Baca,-6.6886
2028,Bent,8.8492
2028,Boulder,13.3038
2028,Broomfield,38.9306
2028,Chaffee,16.2710
2028,Cheyenne,-0.1403
2028,Clear Creek,7.1209
2028,Conejos,3.1201
2028,Costilla,1.4306
2028,Crowley,13.6321
2028,Custer,6.9186
2028,Delta,6.6764
2028,Denver,19.2438
2028,Dolores,5.4566
2028,Douglas,19.9970
2028,Eagle,21.9031
2028,El Paso,18.4522
2028,Elbert,55.1820
2028,Fremont,2.3525
2028,Garfield,23.5574
2028,Gilpin,3.3770
2028,Grand,21.5846
2028,Gunnison,13.6456
2028,Hinsdale,27.8588
2028,Huerfano,-0.8572
2028,Jackson,-2.3320
2028,Jefferson,10.5576
2028,Kiowa,-2.7675
2028,Kit Carson,4.9026
2028,La Plata,24.3975
2028,Lake,9.8070
2028,Larimer,20.0552
2028,Las Animas,-0.7263
2028,Lincoln,15.6318
2028,Logan,11.9729
2028,Mesa,15.0134
2028,Mineral,12.5336
2028,Moffat,1.6588
2028,Montezuma,23.2309
2028,Montrose,21.0789
2028,Morgan,11.8447
2028,Otero,-2.8651
2028,Ouray,5.6436
2028,Park,19.8425
2028,Phillips,1.5030
2028,Pitkin,10.2440
2028,Prowers,0.1317
2028,Pueblo,12.0662
2028,Rio Blanco,3.0377
2028,Rio Grande,-0.0623
2028,Routt,25.0143
2028,Saguache,3.3099
2028,San Juan,5.8075
2028,San Miguel,35.5400
2028,Sedgwick,-2.6917
2028,Summit,23.5111
2028,Teller,16.6125
2028,Washington,3.4674
2028,Weld,42.3662
2028,Yuma,4.9660
2029,Adams,27.0029
2029,Alamosa,14.6260
2029,Arapahoe,18.9009
2029,Archuleta,25.5200
2029,Baca,-7.3396
2029,Bent,9.2419
2029,Boulder,14.5627
2029,Broomfield,39.5881
2029,Chaffee,17.5539
2029,Cheyenne,-0.0857
2029,Clear Creek,8.1134
2029,Conejos,3.5273
2029,Costilla,1.4840
2029,Crowley,15.0904
2029,Custer,7.8610
2029,Delta,7.8519
2029,Denver,20.9657
2029,Dolores,6.1495
2029,Douglas,21.7667
2029,Eagle,24.6432
2029,El Paso,20.1897
2029,Elbert,60.2111
2029,Fremont,2.9938
2029,Garfield,25.9849
2029,Gilpin,3.4889
2029,Grand,24.0186
2029,Gunnison,14.8744
2029,Hinsdale,30.9679
2029,Huerfano,-0.9805
2029,Jackson,-2.3047
2029,Jefferson,11.2820
2029,Kiowa,-3.2564
2029,Kit Carson,5.6362
2029,La Plata,26.4700
2029,Lake,10.8630
2029,Larimer,21.8080
2029,Las Animas,-0.8738
2029,Lincoln,17.2932
2029,Logan,12.9980
2029,Mesa,17.1125
2029,Mineral,13.1276
2029,Moffat,1.8384
2029,Montezuma,25.4561
2029,Montrose,23.7724
2029,Morgan,13.2957
2029,Otero,-3.5318
2029,Ouray,5.8977
2029,Park,21.9305
2029,Phillips,1.2931
2029,Pitkin,11.2662
2029,Prowers,0.0013
2029,Pueblo,13.2621
2029,Rio Blanco,3.4385
2029,Rio Grande,-0.0083
2029,Routt,27.9766
2029,Saguache,3.3115
2029,San Juan,5.8833
2029,San Miguel,38.7959
2029,Sedgwick,-2.7055
2029,Summit,25.6240
2029,Teller,17.6016
2029,Washington,3.7729
2029,Weld,46.5884
2029,Yuma,5.3066
2030,Adams,29.3227
2030,Alamosa,15.8577
2030,Arapahoe,20.4967
2030,Archuleta,28.8125
2030,Baca,-7.9678
2030,Bent,9.6345
2030,Boulder,15.8167
2030,Broomfield,40.1810
2030,Chaffee,18.8184
2030,Cheyenne,-0.2991
2030,Clear Creek,9.1260
2030,Conejos,3.9413
2030,Costilla,1.5420
2030,Crowley,16.5567
2030,Custer,8.8833
2030,Delta,9.3412
2030,Denver,22.4950
2030,Dolores,6.8882
2030,Douglas,23.5069
2030,Eagle,27.1797
2030,El Paso,21.9226
2030,Elbert,65.1927
2030,Fremont,3.7493
2030,Garfield,28.4257
2030,Gilpin,3.6192
2030,Grand,26.7795
2030,Gunnison,16.0906
2030,Hinsdale,34.1693
2030,Huerfano,-1.1249
2030,Jackson,-2.2312
2030,Jefferson,11.9822
2030,Kiowa,-3.7620
2030,Kit Carson,6.3920
2030,La Plata,28.5283
2030,Lake,11.9495
2030,Larimer,23.5507
2030,Las Animas,-1.0365
2030,Lincoln,18.8275
2030,Logan,14.0175
2030,Mesa,19.2139
2030,Mineral,13.7059
2030,Moffat,2.0330
2030,Montezuma,27.6834
2030,Montrose,26.4646
2030,Morgan,14.7539
2030,Otero,-4.1927
2030,Ouray,6.0579
2030,Park,23.9971
2030,Phillips,1.3678
2030,Pitkin,12.2845
2030,Prowers,-0.1358
2030,Pueblo,14.4533
2030,Rio Blanco,3.8603
2030,Rio Grande,0.0427
2030,Routt,30.9520
2030,Saguache,3.3077
2030,San Juan,5.9941
2030,San Miguel,42.0475
2030,Sedgwick,-2.9890
2030,Summit,27.7148
2030,Teller,18.5745
2030,Washington,4.0729
2030,Weld,50.8423
2030,Yuma,5.7008
2031,Adams,31.6402
2031,Alamosa,17.1045
2031,Arapahoe,22.0846
2031,Archuleta,32.4328
2031,Baca,-8.5730
2031,Bent,10.0239
2031,Boulder,17.0646
2031,Broomfield,40.7012
2031,Chaffee,20.5615
2031,Cheyenne,-0.7982
2031,Clear Creek,10.1535
2031,Conejos,4.3627
2031,Costilla,1.6058
2031,Crowley,18.0364
2031,Custer,9.8829
2031,Delta,10.9332
2031,Denver,23.8316
2031,Dolores,7.6853
2031,Douglas,25.2049
2031,Eagle,29.7025
2031,El Paso,23.6492
2031,Elbert,70.1181
2031,Fremont,4.5039
2031,Garfield,30.8716
2031,Gilpin,4.1004
2031,Grand,29.5349
2031,Gunnison,17.3003
2031,Hinsdale,37.4407
2031,Huerfano,-1.2904
2031,Jackson,-2.0988
2031,Jefferson,12.6552
2031,Kiowa,-4.2780
2031,Kit Carson,7.1726
2031,La Plata,30.5776
2031,Lake,13.0587
2031,Larimer,25.2825
2031,Las Animas,-1.2146
2031,Lincoln,20.4216
2031,Logan,15.0298
2031,Mesa,21.3149
2031,Mineral,14.2619
2031,Moffat,2.2285
2031,Montezuma,29.9105
2031,Montrose,29.1463
2031,Morgan,16.2234
2031,Otero,-4.8563
2031,Ouray,6.1682
2031,Park,25.9367
2031,Phillips,1.4520
2031,Pitkin,13.3080
2031,Prowers,-0.2845
2031,Pueblo,15.6362
2031,Rio Blanco,4.2999
2031,Rio Grande,0.0924
2031,Routt,33.9521
2031,Saguache,3.2952
2031,San Juan,6.1552
2031,San Miguel,45.3598
2031,Sedgwick,-3.3140
2031,Summit,29.7870
2031,Teller,19.5336
2031,Washington,4.3594
2031,Weld,55.1249
2031,Yuma,6.0321
2032,Adams,33.9525
2032,Alamosa,18.3496
2032,Arapahoe,23.6612
2032,Archuleta,36.2296
2032,Baca,-9.1582
2032,Bent,10.4042
2032,Boulder,18.3031
2032,Broomfield,41.1434
2032,Chaffee,21.6308
2032,Cheyenne,-1.3078
2032,Clear Creek,11.1986
2032,Conejos,4.7923
2032,Costilla,1.6737
2032,Crowley,19.5748
2032,Custer,10.8589
2032,Delta,12.4870
2032,Denver,25.0529
2032,Dolores,8.5470
2032,Douglas,26.8522
2032,Eagle,32.2189
2032,El Paso,25.3655
2032,Elbert,74.9855
2032,Fremont,5.2551
2032,Garfield,33.3172
2032,Gilpin,4.7731
2032,Grand,32.2812
2032,Gunnison,18.5063
2032,Hinsdale,40.7975
2032,Huerfano,-1.4731
2032,Jackson,-1.9466
2032,Jefferson,13.2986
2032,Kiowa,-4.8011
2032,Kit Carson,7.9762
2032,La Plata,32.5810
2032,Lake,14.1860
2032,Larimer,27.0080
2032,Las Animas,-1.4106
2032,Lincoln,22.0346
2032,Logan,16.0310
2032,Mesa,23.4141
2032,Mineral,14.7918
2032,Moffat,2.4278
2032,Montezuma,32.1308
2032,Montrose,31.8118
2032,Morgan,17.7065
2032,Otero,-5.5214
2032,Ouray,6.3036
2032,Park,27.7464
2032,Phillips,1.3303
2032,Pitkin,14.3272
2032,Prowers,-0.4506
2032,Pueblo,16.8019
2032,Rio Blanco,4.7672
2032,Rio Grande,0.1401
2032,Routt,36.9135
2032,Saguache,3.2711
2032,San Juan,6.3218
2032,San Miguel,48.7324
2032,Sedgwick,-3.2734
2032,Summit,31.8436
2032,Teller,20.4761
2032,Washington,4.4251
2032,Weld,59.5180
2032,Yuma,6.4010
2033,Adams,36.2568
2033,Alamosa,19.5964
2033,Arapahoe,25.2232
2033,Archuleta,39.9926
2033,Baca,-9.7275
2033,Bent,10.7773
2033,Boulder,19.5297
2033,Broomfield,41.5077
2033,Chaffee,22.8088
2033,Cheyenne,-1.8270
2033,Clear Creek,12.2647
2033,Conejos,5.2265
2033,Costilla,1.7464
2033,Crowley,21.2353
2033,Custer,11.8059
2033,Delta,14.0426
2033,Denver,26.1611
2033,Dolores,9.4515
2033,Douglas,28.4386
