"Year","County","PercentChangeSince2017","Basin"
2030,Jefferson,11.9822,Metro
2030,Kit Carson,6.3920,South Platte
2030,Larimer,23.5507,South Platte
2030,Lincoln,18.8275,"Arkansas, South Platte"
2030,Logan,14.0175,South Platte
2030,Morgan,14.7539,South Platte
2030,Park,23.9971,South Platte
2030,Phillips,1.3678,South Platte
2030,Sedgwick,-2.9890,South Platte
2030,Teller,18.5745,"Arkansas, South Platte"
2030,Washington,4.0729,South Platte
2030,Weld,50.8423,South Platte
2030,Yuma,5.7008,South Platte
2031,Adams,31.6402,Metro
2031,Arapahoe,22.0846,Metro
2031,Boulder,17.0646,South Platte
2031,Broomfield,40.7012,Metro
2031,Cheyenne,-0.7982,"South Platte, Arkansas"
2031,Clear Creek,10.1535,South Platte
2031,Denver,23.8316,Metro
2031,Douglas,25.2049,Metro
2031,Elbert,70.1181,"Metro, Arkansas"
2031,Gilpin,4.1004,South Platte
2031,Jefferson,12.6552,Metro
2031,Kit Carson,7.1726,South Platte
2031,Larimer,25.2825,South Platte
2031,Lincoln,20.4216,"Arkansas, South Platte"
2031,Logan,15.0298,South Platte
2031,Morgan,16.2234,South Platte
2031,Park,25.9367,South Platte
2031,Phillips,1.4520,South Platte
2031,Sedgwick,-3.3140,South Platte
2031,Teller,19.5336,"Arkansas, South Platte"
2031,Washington,4.3594,South Platte
2031,Weld,55.1249,South Platte
2031,Yuma,6.0321,South Platte
2032,Adams,33.9525,Metro
2032,Arapahoe,23.6612,Metro
2032,Boulder,18.3031,South Platte
2032,Broomfield,41.1434,Metro
2032,Cheyenne,-1.3078,"South Platte, Arkansas"
2032,Clear Creek,11.1986,South Platte
2032,Denver,25.0529,Metro
2032,Douglas,26.8522,Metro
2032,Elbert,74.9855,"Metro, Arkansas"
2032,Gilpin,4.7731,South Platte
2032,Jefferson,13.2986,Metro
2032,Kit Carson,7.9762,South Platte
2032,Larimer,27.0080,South Platte
2032,Lincoln,22.0346,"Arkansas, South Platte"
2032,Logan,16.0310,South Platte
2032,Morgan,17.7065,South Platte
2032,Park,27.7464,South Platte
2032,Phillips,1.3303,South Platte
2032,Sedgwick,-3.2734,South Platte
2032,Teller,20.4761,"Arkansas, South Platte"
2032,Washington,4.4251,South Platte
2032,Weld,59.5180,South Platte
2032,Yuma,6.4010,South Platte
2033,Adams,36.2568,Metro
2033,Arapahoe,25.2232,Metro
2033,Boulder,19.5297,South Platte
2033,Broomfield,41.5077,Metro
2033,Cheyenne,-1.8270,"South Platte, Arkansas"
2033,Clear Creek,12.2647,South Platte
2033,Denver,26.1611,Metro
2033,Douglas,28.4386,Metro
2033,Elbert,79.7811,"Metro, Arkansas"
2033,Gilpin,5.4701,South Platte
2033,Jefferson,13.9131,Metro
2033,Kit Carson,8.8066,South Platte
2033,Larimer,28.7201,South Platte
2033,Lincoln,23.6165,"Arkansas, South Platte"
2033,Logan,17.0183,South Platte
2033,Morgan,19.2908,South Platte
2033,Park,29.4218,South Platte
2033,Phillips,1.3603,South Platte
2033,Sedgwick,-3.5284,South Platte
2033,Teller,21.3972,"Arkansas, South Platte"
2033,Washington,4.2640,South Platte
2033,Weld,64.0203,South Platte
2033,Yuma,6.7842,South Platte
2034,Adams,38.5507,Metro
2034,Arapahoe,26.7697,Metro
2034,Boulder,20.7414,South Platte
2034,Broomfield,41.7933,Metro
2034,Cheyenne,-2.3605,"South Platte, Arkansas"
2034,Clear Creek,13.3453,South Platte
2034,Denver,27.1589,Metro
2034,Douglas,29.9880,Metro
2034,Elbert,84.5003,"Metro, Arkansas"
2034,Gilpin,6.1870,South Platte
2034,Jefferson,14.5010,Metro
2034,Kit Carson,9.6670,South Platte
2034,Larimer,30.4208,South Platte
2034,Lincoln,25.0912,"Arkansas, South Platte"
2034,Logan,17.9935,South Platte
2034,Morgan,20.8870,South Platte
2034,Park,30.9592,South Platte
2034,Phillips,1.3088,South Platte
2034,Sedgwick,-3.8728,South Platte
2034,Teller,22.3047,"Arkansas, South Platte"
2034,Washington,3.8753,South Platte
2034,Weld,68.5470,South Platte
2034,Yuma,7.1869,South Platte
2035,Adams,40.8322,Metro
2035,Arapahoe,28.2987,Metro
2035,Boulder,21.9365,South Platte
2035,Broomfield,41.9970,Metro
2035,Cheyenne,-2.9025,"South Platte, Arkansas"
2035,Clear Creek,14.4361,South Platte
2035,Denver,28.0476,Metro
2035,Douglas,31.4931,Metro
2035,Elbert,89.1374,"Metro, Arkansas"
2035,Gilpin,6.9204,South Platte
2035,Jefferson,15.0580,Metro
2035,Kit Carson,10.5476,South Platte
2035,Larimer,32.1092,South Platte
2035,Lincoln,26.9518,"Arkansas, South Platte"
2035,Logan,18.9571,South Platte
2035,Morgan,22.5838,South Platte
2035,Park,32.3563,South Platte
2035,Phillips,1.3215,South Platte
2035,Sedgwick,-4.0006,South Platte
2035,Teller,23.1809,"Arkansas, South Platte"
2035,Washington,3.4720,South Platte
2035,Weld,73.0956,South Platte
2035,Yuma,7.6004,South Platte
2036,Adams,43.0995,Metro
2036,Arapahoe,29.8876,Metro
2036,Boulder,23.1125,South Platte
2036,Broomfield,42.1205,Metro
2036,Cheyenne,-3.4508,"South Platte, Arkansas"
2036,Clear Creek,15.5344,South Platte
2036,Denver,28.8298,Metro
2036,Douglas,32.9492,Metro
2036,Elbert,93.6874,"Metro, Arkansas"
2036,Gilpin,7.3282,South Platte
2036,Jefferson,15.5835,Metro
2036,Kit Carson,11.4422,South Platte
2036,Larimer,33.7839,South Platte
2036,Lincoln,28.6553,"Arkansas, South Platte"
2036,Logan,19.9083,South Platte
2036,Morgan,24.2865,South Platte
2036,Park,33.6106,South Platte
2036,Phillips,1.2075,South Platte
2036,Sedgwick,-4.2637,South Platte
2036,Teller,24.0286,"Arkansas, South Platte"
2036,Washington,3.0549,South Platte
2036,Weld,77.6645,South Platte
2036,Yuma,7.9736,South Platte
2037,Adams,45.3530,Metro
2037,Arapahoe,31.4622,Metro
2037,Boulder,24.2696,South Platte
2037,Broomfield,42.1710,Metro
2037,Cheyenne,-4.0015,"South Platte, Arkansas"
2037,Clear Creek,16.6401,South Platte
2037,Denver,29.5624,Metro
2037,Douglas,34.3504,Metro
2037,Elbert,98.1569,"Metro, Arkansas"
2037,Gilpin,7.7472,South Platte
2037,Jefferson,16.0828,Metro
2037,Kit Carson,12.3459,South Platte
2037,Larimer,35.4493,South Platte
2037,Lincoln,30.2916,"Arkansas, South Platte"
2037,Logan,20.8481,South Platte
2037,Morgan,26.0858,South Platte
2037,Park,34.6236,South Platte
2037,Phillips,1.2873,South Platte
2037,Sedgwick,-4.3593,South Platte
2037,Teller,24.8472,"Arkansas, South Platte"
2037,Washington,2.6279,South Platte
